Country Name,Country Code,GNP GNI per capita 2022
Pacific island small states,PSS,4083.75500468467
Post-demographic dividend,PST,52456.0165763947
French Polynesia,PYF,NA
Qatar,QAT,70500
Romania,ROU,15660
Russian Federation,RUS,12830
Rwanda,RWA,930
South Asia,SAS,2277.56689093312
Saudi Arabia,SAU,27590
Sudan,SDN,760
Senegal,SEN,1640
Singapore,SGP,67200
Solomon Islands,SLB,2220
Sierra Leone,SLE,510
El Salvador,SLV,4720
San Marino,SMR,NA
Somalia,SOM,470
Serbia,SRB,9140
Sub-Saharan Africa (excluding high income),SSA,1637.22735819072
South Sudan,SSD,NA
Sub-Saharan Africa,SSF,1638.27719510139
Small states,SST,12943.6150942958
Sao Tome and Principe,STP,2410
Suriname,SUR,4880
Slovak Republic,SVK,22060
Slovenia,SVN,30600
Sweden,SWE,62990
Eswatini,SWZ,3800
Sint Maarten (Dutch part),SXM,NA
Seychelles,SYC,14340
Syrian Arab Republic,SYR,NA
Turks and Caicos Islands,TCA,24160
Chad,TCD,690
East Asia & Pacific (IDA & IBRD countries),TEA,10151.4449236509
Europe & Central Asia (IDA & IBRD countries),TEC,10322.4745315433
Togo,TGO,990
Thailand,THA,7230
Tajikistan,TJK,1210
Turkmenistan,TKM,NA
Latin America & the Caribbean (IDA & IBRD countries),TLA,8556.077947032
Timor-Leste,TLS,1970
Middle East & North Africa (IDA & IBRD countries),TMN,3731.87109791398
Tonga,TON,NA
South Asia (IDA & IBRD),TSA,2277.56689093312
Sub-Saharan Africa (IDA & IBRD countries),TSS,1638.27719510139
Trinidad and Tobago,TTO,16330
Tunisia,TUN,3840
Turkiye,TUR,10590
Tuvalu,TUV,7210
Tanzania,TZA,1200
Uganda,UGA,930
Ukraine,UKR,4270
Upper middle income,UMC,10529.8802025517
Uruguay,URY,18030
United States,USA,76370
Uzbekistan,UZB,2190
St. Vincent and the Grenadines,VCT,9110
"Venezuela, RB",VEN,NA
British Virgin Islands,VGB,NA
Virgin Islands (U.S.),VIR,NA
Vietnam,VNM,4010
Vanuatu,VUT,3560
World,WLD,12803.8721474642
Samoa,WSM,3630
Kosovo,XKX,5590
"Yemen, Rep.",YEM,NA
South Africa,ZAF,6780
Zambia,ZMB,1170
Zimbabwe,ZWE,1500
